,snp
1072,1558869493
1073,1558869177
1074,1558869152
1075,1558868725
1076,1558868424
1077,1558867602
1078,1558867575
1079,1558867387
1080,1558867277
1081,1558867214
1082,1558867208
1083,1558866773
1084,1558865949
1085,1558865876
1086,1558865443
1087,1558865094
1088,1558864817
1089,1558864256
1090,1558863261
1091,1558863112
1092,1558862355
1093,1558862033
1094,1558861647
1095,1558861600
1096,1558861224
1097,1558861188
1098,1558859701
1099,1558859609
1100,1558859537
1101,1558859090
1102,1558858594
1103,1558858258
1104,1558857926
1105,1558857270
1106,1558857049
1107,1558856793
1108,1558856767
1109,1558856591
1110,1558856510
1111,1558855586
1112,1558855000
1113,1558852278
1114,1558851836
1115,1558851696
1116,1558850671
1117,1558850191
1118,1558849507
1119,1558849495
1120,1558849281
1121,1558848685
1122,1558848595
1123,1558847654
1124,1558847090
1125,1558846251
1126,1558845973
1127,1558845938
1128,1558845062
1129,1558844034
1130,1558842696
1131,1558842545
1132,1558842033
1133,1558842012
1134,1558841009
1135,1558840476
1136,1558839577
1137,1558839399
1138,1558837910
1139,1558837896
1140,1558837420
1141,1558836989
1142,1558836848
1143,1558836524
1144,1558836391
1145,1558835946
1146,1558834996
1147,1558833338
1148,1558833064
1149,1558833049
1150,1558832856
1151,1558832845
1152,1558832629
1153,1558830444
1154,1558829263
1155,1558827997
1156,1558827914
1157,1558827493
1158,1558826467
1159,1558825850
1160,1558825457
1161,1558825231
1162,1558825085
1163,1558824824
1164,1558824813
1165,1558822930
1166,1558822511
1167,1558821898
1168,1558821747
1169,1558821086
1170,1558821078
1171,1558821036
1172,1558820931
1173,1558820517
1174,1558819532
1175,1558819298
1176,1558819181
1177,1558818367
1178,1558818244
1179,1558817430
1180,1558817118
1181,1558816928
1182,1558816853
1183,1558815306
1184,1558815067
1185,1558815027
1186,1558814498
1187,1558814452
1188,1558813890
1189,1558812350
1190,1558811839
1191,1558811643
1192,1558811436
1193,1558811072
1194,1558808966
1195,1558808766
1196,1558808595
1197,1558808430
1198,1558807631
1199,1558806483
1200,1558806368
1201,1558806059
1202,1558805719
1203,1558805642
1204,1558805454
1205,1558805043
1206,1558804994
1207,1558804750
1208,1558804436
1209,1558804059
1210,1558803481
1211,1558802423
1212,1558802233
1213,1558801675
1214,1558801450
1215,1558801031
1216,1558799701
1217,1558799352
1218,1558798846
1219,1558798325
1220,1558797814
1221,1558795996
1222,1558795826
1223,1558795199
1224,1558794698
1225,1558794359
1226,1558794295
1227,1558793321
1228,1558793122
1229,1558792849
1230,1558792515
1231,1558792243
1232,1558791286
1233,1558790588
1234,1558790029
1235,1558789357
1236,1558789344
1237,1558789111
1238,1558789082
1239,1558788588
1240,1558787232
1241,1558785504
1242,1553493040
1243,1553492484
1244,1553492302
1245,1553490445
1246,1553490441
1247,1553490390
1248,1553490389
1249,1553490330
1250,1553490326
1251,1553490311
1252,1553490297
1253,1553487521
1254,1553487509
1255,1553487498
1256,1553487485
1257,1553487460
1258,1553487459
1259,1553487419
1260,1553487401
1261,1553487376
1262,1553487375
1263,1553487351
1264,1553487350
1265,1553487020
1266,1553486844
1267,1553486840
1268,1553486764
1269,1553486760
1270,1553486756
1271,1553482846
1272,1553476521
1273,1553471345
1274,1553471252
1275,1553469709
1276,1553468936
1277,1553466026
1278,1553462920
1279,1553462690
1280,1553460095
1281,1553458019
1282,1553456782
1283,1553454130
1284,1553453967
1285,1553453940
1286,1553451869
1287,1553451855
1288,1553451848
1289,1553450921
1290,1553450913
1291,1553450092
1292,1491397181
1293,1491232570
1294,1491219597
1295,1491146293
1296,1491135971
1297,1491044162
1298,1490935628
1299,1490921526
1300,1490895981
1301,1490887527
1302,1490879674
1303,1490855079
1304,1490806938
1305,1490795629
1306,1490772170
1307,1490758785
1308,1490448752
1309,1490400350
1310,1490393711
1311,1490335385
1312,1490233541
1313,1490231003
1314,1490137523
1315,1490076764
1316,1489939851
1317,1489928428
1318,1489923597
1319,1489885056
1320,1489876599
1321,1489815361
1322,1489728184
1323,1489616292
1324,1489582334
1325,1489504837
1326,1489431668
1327,1489141194
1328,1489121334
1329,1489084767
1330,1489079424
1331,1489016729
1332,1489002034
1333,1488963036
1334,1488880825
1335,1488833495
1336,1488781366
1337,1488766477
1338,1488762278
1339,1488743258
1340,1488688206
1341,1488672858
1342,1488653892
1343,1488622238
1344,1488612143
1345,1488576252
1346,1488561633
1347,1488528493
1348,1488444795
1349,1488315612
1350,1488217649
1351,1488198518
1352,1488157388
1353,1488129975
1354,1488075030
1355,1487995290
1356,1487957969
1357,1487938864
1358,1487865377
1359,1487765191
1360,1487756748
1361,1487723138
1362,1487717774
1363,1487683044
1364,1487678273
1365,1487654517
1366,1487647711
1367,1487556873
1368,1487444748
1369,1487442510
1370,1487410440
1371,1487364665
1372,1487360236
1373,1487322848
1374,1487270387
1375,1487254910
1376,1487190223
1377,1487033586
1378,1487019592
1379,1487000962
1380,1487000789
1381,1486970333
1382,1486962564
1383,1486945204
1384,1486897268
1385,1486861143
1386,1486773861
1387,1486727349
1388,1486684931
1389,1486661004
1390,1486649931
1391,1486600508
1392,1486523243
1393,1486453030
1394,1486401323
1395,1486335699
1396,1486319450
1397,1486253739
1398,1486239946
1399,1486182236
1400,1485908211
1401,1485886058
1402,1485865300
1403,1485856488
1404,1485840625
1405,1485729354
1406,1485711350
1407,1485662114
1408,1485605185
1409,1485599211
1410,1485524322
1411,1485497623
1412,1485412456
1413,1485363957
1414,1485354415
1415,1485345741
1416,1485312177
1417,1485303848
1418,1485269457
1419,1485258167
1420,1485224624
1421,1485202971
1422,1485180311
1423,1485155131
1424,1485138178
1425,1485003753
1426,1484997582
1427,1484938044
1428,1484816579
1429,1484740935
1430,1484713736
1431,1484711355
1432,1484683318
1433,1484668790
1434,1484641665
1435,1484635523
1436,1484561034
1437,1484324338
1438,1484260075
1439,1484184640
1440,1484174402
1441,1484171510
1442,1484154488
1443,1484090176
1444,1484023624
1445,1483894821
1446,1483812902
1447,1483683760
1448,1483683335
1449,1483666054
1450,1483626586
1451,1483606278
1452,1483568904
1453,1483559200
1454,1483529059
1455,1483446853
1456,1483383378
1457,1483331366
1458,1483294903
1459,1483200893
1460,1483098720
1461,1483063958
1462,1482916950
1463,1482914143
1464,1482867569
1465,1482490292
1466,1482481637
1467,1482476311
1468,1482422450
1469,1482374716
1470,1482275565
1471,1482167080
1472,1482163520
1473,1482132335
1474,1482129013
1475,1482084836
1476,1482069006
1477,1482028782
1478,1481983852
1479,1481982616
1480,1481943236
1481,1481931946
1482,1481923231
1483,1481850609
1484,1481840596
1485,1481810700
1486,1481680823
1487,1481633773
1488,1481580552
1489,1481514303
1490,1481513320
1491,1481498575
1492,1481446793
1493,1481366309
1494,1481335885
1495,1481303538
1496,1481155023
1497,1481099372
1498,1481062388
1499,1481021107
1500,1481015549
1501,1481014673
1502,1480952845
1503,1480850518
1504,1480779405
1505,1480644547
1506,1480603492
1507,1480601752
1508,1480590076
1509,1480552808
1510,1480510408
1511,1480385504
1512,1480189291
1513,1480159758
1514,1480136387
1515,1480107986
1516,1480071391
1517,1480065007
1518,1480048962
1519,1480027522
1520,1479996205
1521,1479921768
1522,1479906558
1523,1479766444
1524,1479592988
1525,1479521572
1526,1479508750
1527,1479483840
1528,1479469432
1529,1479318736
1530,1479316429
1531,1479214364
1532,1479163822
1533,1479117772
1534,1479063326
1535,1478925480
1536,1478903886
1537,1478734573
1538,1478716672
1539,1478699649
1540,1478596390
1541,1478559856
1542,1478538590
1543,1478433084
1544,1478398327
1545,1478368100
1546,1478366200
1547,1478342382
1548,1478316532
1549,1478207601
1550,1478204900
1551,1478201064
1552,1478158670
1553,1478125776
1554,1477967404
1555,1477932558
1556,1477902421
1557,1477858017
1558,1477748447
1559,1477726219
1560,1477656674
1561,1477622944
1562,1477566494
1563,1477565431
1564,1477558017
1565,1477539182
1566,1477429479
1567,1477306408
1568,1477148868
1569,1477145342
1570,1476998227
1571,1476828158
1572,1476739489
1573,1476729417
1574,1476668446
1575,1476631248
1576,1476472412
1577,1476432034
1578,1476369234
1579,1476357459
1580,1476223356
1581,1476083512
1582,1476058228
1583,1476002862
1584,1475948295
1585,1475924970
1586,1475914810
1587,1475836644
1588,1475774240
1589,1475759850
1590,1475719099
1591,1475715978
1592,1475658298
1593,1475650252
1594,1475641482
1595,1475628837
1596,1475462472
1597,1475411321
1598,1475357295
1599,1475268096
1600,1475067737
1601,1475037861
1602,1474858178
1603,1474839343
1604,1474742662
1605,1474628839
1606,1474605515
1607,1474603231
1608,1474563501
1609,1474491749
1610,1474441025
1611,1474408295
1612,1474309707
1613,1474307103
1614,1474298468
1615,1474269504
1616,1474262228
1617,1474257273
1618,1474212021
1619,1474152034
1620,1474109131
1621,1474085300
1622,1474066034
1623,1474056944
1624,1474020420
1625,1473993600
1626,1473935119
1627,1473933932
1628,1473864302
1629,1473831825
1630,1473803976
1631,1473716829
1632,1473682311
1633,1473597174
1634,1473560863
1635,1473507389
1636,1473408343
1637,1473322712
1638,1473308203
1639,1473300918
1640,1473086778
1641,1473044341
1642,1473009816
1643,1472997523
1644,1472979770
1645,1472813748
1646,1472786352
1647,1472773133
1648,1472620754
1649,1472567521
1650,1472531157
1651,1472501328
1652,1472440640
1653,1472427117
1654,1472390447
1655,1472353745
1656,1472300378
1657,1472249172
1658,1472204325
1659,1472182656
1660,1472140982
1661,1472126246
1662,1472053005
1663,1471893030
1664,1471867850
1665,1471836725
1666,1471773880
1667,1471683629
1668,1471593269
1669,1471484834
1670,1471461357
1671,1471365846
1672,1471255049
1673,1471226713
1674,1471149002
1675,1471147386
1676,1471142877
1677,1471116667
1678,1471081341
1679,1471066798
1680,1471037598
1681,1470896571
1682,1470817295
1683,1470798680
1684,1470709520
1685,1470700871
1686,1470682556
1687,1470654878
1688,1470646505
1689,1470599547
1690,1470577114
1691,1470570029
1692,1470554818
1693,1470475094
1694,1470401054
1695,1470390642
1696,1470335055
1697,1470323848
1698,1470188923
1699,1470112157
1700,1470047149
1701,1469930858
1702,1469849579
1703,1469779838
1704,1469752836
1705,1469588194
1706,1469332580
1707,1469189523
1708,1469112756
1709,1469084765
1710,1469079170
1711,1469051659
1712,1468954858
1713,1468909726
1714,1468907697
1715,1468883835
1716,1468857271
1717,1468822595
1718,1468791341
1719,1468763936
1720,1468747021
1721,1468718707
1722,1468680264
1723,1468594624
1724,1468574998
1725,1468551627
1726,1468503025
1727,1468497251
1728,1468471423
1729,1468460636
1730,1468405538
1731,1468400471
1732,1468400449
1733,1468288509
1734,1468274054
1735,1468182280
1736,1468158497
1737,1468144699
1738,1468129113
1739,1468110334
1740,1468092156
1741,1468079464
1742,1468029732
1743,1468025342
1744,1468015533
1745,1467866380
1746,1467821981
1747,1467727381
1748,1467711235
1749,1467667245
1750,1467566771
1751,1467475774
1752,1467243415
1753,1467237688
1754,1467229780
1755,1467167926
1756,1467161847
1757,1467098257
1758,1467036282
1759,1466988618
1760,1466980783
1761,1466894569
1762,1466837421
1763,1466785446
1764,1466778095
1765,1466748456
1766,1466675059
1767,1466658467
1768,1466528785
1769,1466523818
1770,1466462204
1771,1466457843
1772,1466391595
1773,1466353235
1774,1466335447
1775,1466319142
1776,1466285927
1777,1466213093
1778,1466206746
1779,1466194692
1780,1466156923
1781,1466146301
1782,1466143498
1783,1466138536
1784,1466127295
1785,1466085504
1786,1466057656
1787,1466034423
1788,1465933708
1789,1465916472
1790,1465862946
1791,1465833727
1792,1465821187
1793,1465811161
1794,1465798622
1795,1465710551
1796,1465660000
1797,1465621155
1798,1465573480
1799,1465543444
1800,1465528454
1801,1465445392
1802,1465391225
1803,1465297788
1804,1465236066
1805,1465212990
1806,1465154443
1807,1465120115
1808,1465106407
1809,1465034571
1810,1465015493
1811,1464985038
1812,1464983649
1813,1464978344
1814,1464847998
1815,1464792513
1816,1464602400
1817,1464545930
1818,1464530822
1819,1464479300
1820,1464383106
1821,1464312336
1822,1464308154
1823,1464235480
1824,1464217334
1825,1464189639
1826,1464141813
1827,1464117792
1828,1464105841
1829,1464102827
1830,1464096404
1831,1464069395
1832,1464043336
1833,1464040148
1834,1464027911
1835,1464026250
1836,1463969452
1837,1463927383
1838,1463899322
1839,1463878939
1840,1463867883
1841,1463836744
1842,1463813583
1843,1463795417
1844,1463675239
1845,1463644339
1846,1463588699
1847,1463576195
1848,1463523428
1849,1463420220
1850,1463382738
1851,1463374506
1852,1463319883
1853,1463296272
1854,1463108595
1855,1463044450
1856,1463044408
1857,1462923439
1858,1462904756
1859,1462867218
1860,1462800965
1861,1462689385
1862,1462572015
1863,1462553382
1864,1462533329
1865,1462520258
1866,1462501338
1867,1462495610
1868,1462477473
1869,1462472894
1870,1462396163
1871,1462330375
1872,1462206639
1873,1462117845
